,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
4,5,2004-01-02,Suelo,Venta,Tarragona,152,1138024,2004-07-10,María
6,7,2004-01-03,Parking,Alquiler,Tarragona,69,406686,2004-06-07,Pedro
12,13,2004-01-04,Parking,Venta,Barcelona,300,2937300,2004-11-04,Jesús
13,14,2004-01-04,Local,Venta,Tarragona,68,664700,2004-10-01,Carmen
16,17,2004-01-05,Casa,Alquiler,Tarragona,58,358846,2004-10-08,Luisa
17,18,2004-01-06,Suelo,Venta,Barcelona,283,1679605,2004-06-06,Carmen
19,20,2004-01-08,Oficina,Alquiler,Barcelona,148,1169496,2004-08-19,María
20,21,2004-01-09,Industrial,Venta,Barcelona,228,2020992,2004-06-12,Carmen
23,24,2004-01-10,Oficina,Alquiler,Tarragona,79,427390,2004-12-01,Joaquín
24,25,2004-01-10,Oficina,Alquiler,Barcelona,124,1170684,2004-05-23,Jesús
25,26,2004-01-10,Local,Alquiler,Tarragona,70,549780,2004-06-22,Jesús
26,27,2004-01-11,Local,Alquiler,Tarragona,70,659330,2004-12-23,Pedro
27,28,2004-01-12,Casa,Alquiler,Barcelona,187,1660560,2004-06-16,Joaquín
28,29,2004-01-12,Casa,Alquiler,Tarragona,91,753571,2004-07-07,Luisa
29,30,2004-01-12,Local,Alquiler,Tarragona,201,939072,2004-08-04,Carmen
30,31,2004-01-13,Industrial,Alquiler,Barcelona,142,1405374,2004-09-24,Jesús
32,33,2004-01-15,Local,Alquiler,Barcelona,181,1504110,2004-07-03,María
33,34,2004-01-15,Casa,Venta,Barcelona,281,2483197,2004-11-01,María
34,35,2004-01-15,Industrial,Alquiler,Tarragona,257,1799771,2004-12-31,Luisa
35,36,2004-01-16,Industrial,Alquiler,Tarragona,140,1054340,2004-12-02,Luisa
37,38,2004-01-17,Suelo,Alquiler,Tarragona,300,1492800,2004-12-08,Joaquín
38,39,2004-01-18,Parking,Alquiler,Tarragona,215,1154980,2005-01-14,Joaquín
40,41,2004-01-18,Piso,Venta,Barcelona,230,1421860,2004-09-23,Jesús
41,42,2004-01-19,Oficina,Venta,Tarragona,168,1426992,2004-11-20,Jesús
44,45,2004-01-20,Oficina,Alquiler,Barcelona,287,2851058,2005-01-02,Joaquín
