,Tipo,Operación,Provincia
0,Parking,Alquiler,Lleida
1,Local,Venta,Girona
2,Oficina,Alquiler,Girona
3,Parking,Alquiler,Girona
4,Suelo,Venta,Tarragona
5,Industrial,Alquiler,Girona
6,Parking,Alquiler,Tarragona
7,Oficina,Venta,Girona
8,Piso,Alquiler,Lleida
9,Parking,Venta,Lleida
10,Oficina,Alquiler,Girona
11,Industrial,Venta,Girona
12,Parking,Venta,Barcelona
13,Local,Venta,Tarragona
14,Industrial,Alquiler,Girona
15,Casa,Alquiler,Girona
16,Casa,Alquiler,Tarragona
17,Suelo,Venta,Barcelona
18,Piso,Alquiler,Girona
19,Oficina,Alquiler,Barcelona
20,Industrial,Venta,Barcelona
21,Oficina,Alquiler,Lleida
22,Casa,Alquiler,Girona
23,Oficina,Alquiler,Tarragona
24,Oficina,Alquiler,Barcelona
25,Local,Alquiler,Tarragona
26,Local,Alquiler,Tarragona
27,Casa,Alquiler,Barcelona
28,Casa,Alquiler,Tarragona
29,Local,Alquiler,Tarragona
30,Industrial,Alquiler,Barcelona
31,Casa,Alquiler,Girona
32,Local,Alquiler,Barcelona
33,Casa,Venta,Barcelona
34,Industrial,Alquiler,Tarragona
35,Industrial,Alquiler,Tarragona
36,Local,Venta,Girona
37,Suelo,Alquiler,Tarragona
38,Parking,Alquiler,Tarragona
39,Oficina,Venta,Girona
40,Piso,Venta,Barcelona
41,Oficina,Venta,Tarragona
42,Oficina,Alquiler,Girona
43,Casa,Venta,Girona
44,Oficina,Alquiler,Barcelona
45,Oficina,Alquiler,Lleida
46,Piso,Alquiler,Barcelona
47,Industrial,Venta,Barcelona
48,Local,Venta,Girona
49,Local,Alquiler,Tarragona
50,Industrial,Venta,Lleida
51,Local,Alquiler,Lleida
52,Suelo,Alquiler,Tarragona
53,Suelo,Alquiler,Barcelona
54,Local,Venta,Girona
55,Piso,Venta,Lleida
56,Oficina,Alquiler,Lleida
57,Local,Alquiler,Girona
58,Industrial,Venta,Tarragona
59,Oficina,Alquiler,Lleida
60,Casa,Venta,Tarragona
61,Industrial,Venta,Tarragona
62,Piso,Venta,Barcelona
63,Industrial,Venta,Lleida
